
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001994                       # Number of seconds simulated (Second)
simTicks                                   1994052500                       # Number of ticks simulated (Tick)
finalTick                                  1994052500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    169.65                       # Real time elapsed on the host (Second)
hostTickRate                                 11753600                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1206136                       # Number of bytes of host memory used (Byte)
simInsts                                      5515188                       # Number of instructions simulated (Count)
simOps                                       10313306                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    32508                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      60790                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3988106                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        11323654                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       90                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       11072474                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   5197                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1010432                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1394333                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  18                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3801879                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.912369                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.568827                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1115275     29.33%     29.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    297031      7.81%     37.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    437473     11.51%     48.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    426141     11.21%     59.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    382651     10.06%     69.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    384586     10.12%     80.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    338156      8.89%     88.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    224924      5.92%     94.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    195642      5.15%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3801879                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   99999     75.20%     75.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     75.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     75.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     75.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     75.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     75.20% # attempts to use FU when none available (Count)
